course_name,institution,location,description,cost,dur_period,dur_number,extra_0,extra_1,extra_2,extra_3,extra_4,class,degree,enrollment,online,in_person,blended_learning
Social Informatics,University of Ljubljana,"Ljubljana, Slovenia","The transdisciplinary master’s study programme of Social Informatics at University of Ljubljana with more than 30 years long tradition brings together social and computer sciences for two reasons: firstly, to promote uses of various information-communication technologies (ICTs) in social science research.","4,000 EUR / year",month,12.0,M.A.,Full-time,,,,Master's,M.A.,Full-time,No,No,No
Human Language Science and Technology,University of Malta,"Msida, Malta",The Master of Science in Human Language Science and Technology from University of Malta falls under the auspices of the Erasmus Mundus LCT (Language and Communication Technologies) consortium. ,,month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Business Intelligence and Analytics,University of Westminster,"London, England, United Kingdom",This Business Intelligence and Analytics MSc degree offered by the University of Westminster addresses the need to propel information gathering and data organisation and exploit potential information and knowledge hidden in routinely collected data to improve decision making.,"15,409 EUR / year",month,12.0,M.Sc.,Full-time,Part-time,,,Master's,M.Sc.,Full-time & Part-time,No,No,No
Geographic Information Science (Part-Time),"Birkbeck, University of London","London, England, United Kingdom","This Master's degree in Geographic Information Science (Part-Time) (GISc) at Birkbeck, University of London is aimed at professionals and researchers who work with (or those who wish to work with) geographically referenced data.","8,365 EUR / year",month,24.0,M.Sc.,Part-time,,,,Master's,M.Sc.,Part-time,No,No,No
Renewable Energy and Data Engineering,Offenburg University of Applied Sciences,"Offenburg, Germany","Offenburg University of Applied Sciences's Renewable Energy and Data Engineering Master’s degree program prepares you exactly for this exciting challenge. You will gain expertise in power generation based on solar, wind, hydro, biomass and conventional fuels, on storage, transport and distribution of energy via grids, and on final energy usage and management by customers.","3,000 EUR / year",month,18.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Artificial Intelligence and Business Analytics,TBS Business School,"Toulouse, France",This MSc in Artificial Intelligence and Business Analytics at TBS Business School is a unique Big Data program. Students can combine business knowledge with the technical skills necessary to use analytic tools effectively and rise to leadership positions within companies.,"16,500 EUR / year",month,12.0,M.Sc.,Full-time,Blended Learning,,,Master's,M.Sc.,Full-time,Blended,Blended,No
Business Analytics,University of Saint Thomas Saint Paul,"Saint Paul, Minnesota, United States",The MS in Business Analytics combines the technical skills needed to understand data and the business skills needed to use that data to make sound decisions.,"1,013 EUR / credit",,,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Statistical Science,Duke University,"Durham, North Carolina, United States","The Master's in Statistical Science (MSS) is a 2-year graduate degree program that provides a modern, comprehensive education in statistical theory, methods and computation.  The MSS is attractive to students interested in professional careers in industry, business and government, as well as those interested in bridging to Ph.D. studies in statistics and related areas. ","50,043 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Predictive Analytics,Curtin University,"Perth, Western Australia, Australia",The Predictive Analytics course from Curtin University addresses the growing demand for data analysts and scientists that have the right blend of technical and analytical skills to meet big data analytics challenges. ,"19,065 EUR / year",month,24.0,Full-time,Full-time,,,,Master's,Full-time,Full-time & Full-time,No,No,No
Business Information Technology,University of Twente (UT),"Enschede, Netherlands","The Business Information Technology offered by the University of Twente (UT) covers the areas of enterprise architecture, IT management as well as data science and business. We offer courses on IT architectures, e-business, big data, business process modeling and design and project management. ","15,750 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Environmental Informatics,University of Michigan,"Ann Arbor, Michigan, United States","Data science technologies are fast-tracking sustainability efforts from forestry to landscape mapping, watershed ecology to archaeology, pollution detection to geology, and everything in between.The Environmental Informatics program is offered at University of Michigan.","20,168 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Marketing Analytics,Jheronimus Academy of Data Science (JADS),Multiple locations,"Become a highly trained marketing analyst by taking the Marketing Analytics programme is offered at Jheronimus Academy of Data Science (JADS): gather and analyze big data using the latest techniques and methods available, to provide management with critical marketing insights and opportunities about online and otherwise.","14,600 EUR / year",month,12.0,Full-time,Full-time,,,,Master's,Full-time,Full-time & Full-time,No,No,No
Economics: Data Science,Tilburg University,"Tilburg, Netherlands",Become an economist with hands-on experience in processing and interpreting unstructured (big) data sets. This is a track of MSc Economics.,"14,600 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Business Intelligence and Analytics,International Islamic University of Malaysia,"Kuala Lumpur, Malaysia",Centre of IT Advancement (CITA) proudly offers at International Islamic University of Malaysia the Master in Business Intelligence and Analytics (MBIA). This programme is offered in response to the emerging trends in advanced applications of ICT technologies to enhance intelligence and analytical capabilities.,"4,040 EUR / year",month,24.0,Full-time,Full-time,,,,Master's,Full-time,Full-time & Full-time,No,No,No
Bioinformatics,North Carolina State University,"Raleigh, North Carolina, United States",Handling and analyzing large amounts of data continues to be an urgent need in genomic science. Bioinformatics emerged in response to this need. The Master in Bioinformatics at North Carolina State University includes methods to analyze extremely large data sets of genomic information such as DNA sequences and expression from DNA microassays.,"25,063 EUR / year",month,24.0,Full-time,Full-time,,,,Master's,Full-time,Full-time & Full-time,No,No,No
Information Sciences,University of Tennessee Knoxville,"Knoxville, Tennessee, United States","The Master’s in Information Sciences degree from University of Tennessee Knoxville is an ALA accredited, internationally recognized online MSIS program. Our graduates can pursue a variety of traditional library career tracks, as well as nontraditional career tracks which include data analysts, corporate taxonomists, user experience specialists, web developers, and more! ","27,483 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Analytics,Northwestern University,"Evanston, Illinois, United States","The Analytics program at Northwestern University teaches students the skills that drive business success in today’s hyper-competitive, data-driven world.","32,401 EUR / year",month,15.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Health Informatics,University of Scranton,Online,"With the online Master of Science in Health Informatics programme from the University of Scranton you will make well-informed, data-driven healthcare decisions that keep patient-centered care at the forefront of the constantly evolving medical field. ",654 EUR / credit,month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Analytics,University of Chicago,"Chicago, Illinois, United States","Building from a core in applied statistics, the MS in Analytics at University of Chicago provides students with advanced analytical training to develop their ability to draw insights from big data, including: data collection, preparation and integration; statistical methods and modeling; and other sophisticated techniques for analyzing complex data.","4,010 EUR / module",month,18.0,M.Sc.,Full-time,Part-time,,,Master's,M.Sc.,Full-time & Part-time,No,No,No
Statistics,University of Haifa,"Haifa, Israel","During the last decade, there has been a dramatic increase in the size and complexity of data collected by both Industry and the Academic community. Examples include genomic and proteomic data on one hand, and social media and electronic commerce data on the other. The Statistics programme is offered by the University of Haifa.","9,910 EUR / year",month,12.0,M.A.,Full-time,,,,Master's,M.A.,Full-time,No,No,No
Data-Intensive Astrophysics,Cardiff University,"Cardiff, Wales, United Kingdom","The Data-Intensive Astrophysics programme from Cardiff University has been designed to provide you with the skills and knowledge needed for a career in a range of areas including academic research as well technical, development and engineering positions in the “in-demand” field of “Big Data” and related scientific fields. ",,month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Geographic Information Science,"Birkbeck, University of London","London, England, United Kingdom","The Postgraduate Certificate in Geographic Information Science (GISc) at Birkbeck, University of London is aimed at professionals and researchers who work with (or those who wish to work with) geographically referenced data. It is ideal if you are interested in studying at postgraduate level for personal or professional reasons, but you don't want to commit to a full MSc.","5,586 EUR / year",month,12.0,Postgraduate Certificate,Part-time,,,,Master's,Postgraduate Certificate,Part-time,No,No,No
Statistics,University of New Hampshire,"Durham, New Hampshire, United States","Statistics is a thriving field that develops and tests tools for data collection, modeling and analysis. Statistical methods and practices are ubiquitous in all the sciences, and in society at large, especially in this age of ever-increasing reliance on digital technology. ","1,098 EUR / credit",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Information Systems,Liberty University,Online,"The online Master of Science in Information Systems (MSIS) from Liberty University provides the tools needed for you to design, assess, and improve organizational data networks. ",532 EUR / credit,month,18.0,M.Sc.,Part-time,,,,Master's,M.Sc.,Part-time,No,No,No
Biomedical Informatics,Icahn School of Medicine at Mount Sinai,"New York City, New York, United States",The Master of Science in Biomedical Informatics (MS-BMI) program at the Icahn School of Medicine at Mount Sinai teaches practical computational and data science skills to students with computer science and/or bioscience backgrounds.,"20,743 EUR / year",,,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Urban Analytics and Visualisation,University of Warwick,"Coventry, England, United Kingdom","University of Warwick's CIM explores how our wired-up cities can be analysed to offer meaningful solutions to real world problems. Urban Analytics and Visualisation MSc advances your understanding of smart cities, analysis of city-scale data and the emerging solutions posed by interdisciplinary methodologies.","24,424 EUR / year",month,12.0,M.Sc.,Full-time,Part-time,,,Master's,M.Sc.,Full-time & Part-time,No,No,No
Artificial Intelligence,Boston University,"Boston, Massachusetts, United States","Artificial Intelligence offered by Boston University is an area of study that explores how to create computer programs that learn to make decisions, reason about data, and communicate with humans. In the MS in AI degree program, students learn to apply creative thinking, algorithmic design, and coding skills to build modern AI systems.","47,294 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Analytical Chemistry (Part-Time),"Birkbeck, University of London","London, England, United Kingdom","The Analytical Chemistry (Part-Time) programme at Birkbeck, University of London offers the opportunity to complete a research project in our research laboratories, with constant contact between staff and students which creates opportunities for you to comment on, and take responsibility for, the direction of your studies.","11,172 EUR / year",month,24.0,Postgraduate Diploma,Part-time,,,,Master's,Postgraduate Diploma,Part-time,No,No,No
Analytics,University of New Hampshire,"Durham, New Hampshire, United States","The curriculum for the one-­year interdisciplinary, full-­time M.S. in Analytics program from University of New Hampshire begins in May on the Durham, NH campus. The 36-­credit program is comprised of ten core analytics and data science courses and two cluster electives.  ","12,247 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Analytical Chemistry,"Birkbeck, University of London","London, England, United Kingdom","The Analytical Chemistry programme at Birkbeck, University of London offers the opportunity to complete a research project in our research laboratories, with constant contact between staff and students which creates opportunities for you to comment on, and take responsibility for, the direction of your studies.","11,172 EUR / year",month,12.0,Postgraduate Diploma,Full-time,,,,Master's,Postgraduate Diploma,Full-time,No,No,No
Business Intelligence and Analysis,Kadir Has University,"Istanbul, Turkey","The rapid development of information technologies facilitated continuous data inflow to institutions from their macro environment of other institutions, competitors, customers, stakeholders, and a variety of other market actors. To learn more, join the Business Intelligence and Analysis program at Kadir Has University.","5,186 EUR / year",month,24.0,M.A.,Full-time,,,,Master's,M.A.,Full-time,No,No,No
Statistics - Mathematical Statistics,California State University East Bay,"Hayward, California, United States",The Department of Statistics and Biostatistics offers graduate study leading to the Statistics - Mathematical Statistics program at California State University East Bay.,"13,436 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Business Analytics,Nova School of Business and Economics,"Carcavelos, Portugal","In a world increasingly impacted by technology and access to information, Business Analytics was recognized as a strategic area to respond to the scarcity of understanding of organizational and management problems and, at the same time, understand how to use technology and data to solve those same problems.","7,933 EUR / year",month,18.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Business Administration - Business Intelligence and Data Analysis,The City University of New York,"New York City, New York, United States",The Business Administration - Business Intelligence and Data Analysis program is offered at Brooklyn College at The City University of New York.,739 EUR / credit,month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Analytics,Louisiana State University,"Baton Rouge, Louisiana, United States",The Master of Science in Analytics at Louisiana State University is an exciting degree offered by the Stephenson Department of Entrepreneurship & Information Systems. It is designed to prepare students to use data-driven methods to contribute to organizational effectiveness and guide decisions.,"22,068 EUR / year",month,18.0,M.Sc.,Full-time,Part-time,,,Master's,M.Sc.,Full-time & Part-time,No,No,No
Data-Centric Engineering,LUT University,"Lappeenranta, Finland","In this Data-Centric Engineering programme at LUT University, you will study at the intersection of applied mathematics, computational statistics and artificial intelligence.","10,000 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Artificial Intelligence,University of South Wales,"Pontypridd, Wales, United Kingdom",This MSc Artificial Intelligence from University of South Wales is a conversion course aimed at non-computing graduates who would like to broaden their existing knowledge and open up a new career path. ,"15,740 EUR / year",month,12.0,M.Sc.,Full-time,Part-time,,,Master's,M.Sc.,Full-time & Part-time,No,No,No
Smart Cities and Urban Analytics (RTPI Pathway),University College London (UCL),"London, England, United Kingdom",The MSc in Smart Cities and Urban Analytics (RTPI Pathway) is a collaborative degree from University College London (UCL) shared between the Bartlett’s School of Planning and Centre for Advanced Spatial Analysis (CASA).,"31,402 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Earth Observation and Geoinformation Management,The University of Edinburgh,"Edinburgh, Scotland, United Kingdom",This Earth Observation and Geoinformation Management programme at The University of Edinburgh aims to provide you with the theoretical and practical skills to use and analyse Earth Observation data in conjunction with Geographical Information Science (GIS). ,"30,984 EUR / year",month,12.0,M.Sc.,Full-time,Part-time,,,Master's,M.Sc.,Full-time & Part-time,No,No,No
Library and information science,Monash University,"Caulfield North, Victoria, Australia","The Library and information science program at Monash University is concerned with analysing information needs, solving information problems, evaluating information sources, organising information, synthesising information into targeted information products, and training clients in the use of information products, services and systems.","26,407 EUR / year",month,24.0,Full-time,Full-time,Part-time,,,Master's,Full-time,Full-time & Full-time & Part-time,No,No,No
Bioinformatics,Lund University,"Lund, Sweden","Bioinformatics from Lund University is a broad subject in which biology, medicine, computer science and statistics intertwine.  ","13,742 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Geospatial Technologies,University of Washington,"Tacoma, Washington, United States",The School of Urban Studies at University of Washington Tacoma offers a Master of Science in Geospatial Technologies degree. Admission is open during autumn quarter only and will be comprised of a 20 student cohort.  ,"1,471 EUR / module",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Biostatistics,Johns Hopkins University,"Baltimore, Maryland, United States",The Johns Hopkins University Department of Biostatistics ScM program is intended for individuals who have demonstrated excellence at the undergraduate level in quantitative or biological sciences and prepares them for a career as a professional statistician.,"49,659 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Information Technology,Åbo Akademi University,"Turku, Finland","The Information Technology programme of Åbo Akademi University aims to equip students with a solid understanding of computation, communication and information processing in the context of our fast-changing society.","12,000 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Computer Science and Information Systems,University of Michigan Flint,"Flint, Michigan, United States","The mission of the Computer Science and Information Systems (MS) program at University of Michigan Flint is to provide a solid understanding of the principles of computers and computing, not only in the context of problem solving, but also in technical support, education and training, and software/hardware management. ","13,932 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Applied Health Sciences Informatics,Johns Hopkins University,"Baltimore, Maryland, United States","This 12 month Applied Health Sciences Informatics program from Johns Hopkins University prepares students for informatics leadership positions in clinical, public health, and scientific settings.","47,450 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Biostatistics,Middle Tennessee State University,"Murfreesboro, Tennessee, United States",The Biostatistics M.S. at Middle Tennessee State University offers training in the statistical methods applied to biomedical and health-related fields. These methods involve using mathematics to solve real-world problems that influence health.,"15,369 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Medical Bioinformatics,University of Verona,"Verona, Italy","The main goal of the Master’s degree in Medical Bioinformatics is to train graduates to be able to perform management and coordination tasks in design, development, management and maintenance of information systems in medicine, biology and healthcare.",,month,24.0,Full-time,Full-time,,,,Master's,Full-time,Full-time & Full-time,No,No,No
Advanced Computer Science (Artificial Intelligence),University of Leeds,"Leeds, England, United Kingdom","From software agents used in networking systems to embedded systems in unmanned vehicles, intelligent systems are being adopted more and more often. This Advanced Computer Science (Artificial Intelligence) programme at University of Leeds will equip you with specialist knowledge in this exciting field and allow you to explore a range of topics in computer science.",,month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Information Security and Assurance,Johnson & Wales University,Multiple locations,Want a career that protects and ensures the integrity of business data? Consider the Information Security and Assurance program of Johnson & Wales University.,"2,038 EUR / module",month,12.0,M.B.A.,Full-time,,,,Master's,M.B.A.,Full-time,No,No,No
Information Systems (without Thesis),Eastern Mediterranean University,"Famagusta, Northern Cyprus",The Information Systems (without Thesis) program at Eastern Mediterranean University has been established to enable students with strong research motivation to develop their interests through advanced study. ,"2,977 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Computer Information Science,Indiana University - Purdue University Indianapolis,"Indianapolis, Indiana, United States","In addition to teaching fundamentals, the Master of Science degree program emphasizes research in network security, databases, bioinformatics, biometrics, and distributed computing.","51,858 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Information Systems Technologies,Wilmington University,"New Castle, Delaware, United States","The Master of Science program in Information Systems Technologies at Wilmington University provides and advances the knowledge, skills, and abilities needed by perspective and current Information Technology (IT) professionals. ",464 EUR / credit,month,12.0,M.Sc.,Full-time,Part-time,Online,,Master's,M.Sc.,Full-time & Part-time,Yes,Yes,No
Informatics (with Concentration in Geoinformatics),Emporia State University,"Kansas City, Kansas, United States",The Master of Science degree in Informatics from the Department of Interdisciplinary Studies at Emporia State University is a two-year interdisciplinary program that combines the expertise of faculty in the Information Systems program of the ESU School of Business and SLIM.,698 EUR / credit,month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Cybersecurity Strategy and Information Management,George Washington University,"Washington, D. C., Washington, D.C., United States","The master's degree in Cybersecurity Strategy and Information Management offered by George Washington University will provide a focused skill set for working professionals in the justice, public safety, and information technology fields that will enable them to use and oversee information systems in the fight against crime, terrorism, and other pressing security issues.","1,577 EUR / credit",month,16.0,Full-time,Full-time,,,,Master's,Full-time,Full-time & Full-time,No,No,No
Bioinformatics,KU Leuven,"Leuven, Belgium","The Master of Bioinformatics is embedded in a strong bioinformatics research community in KU Leuven, who monthly meet at the Bioinformatics Interest Group. ",,month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Health Care Informatics,University of San Diego,"San Diego, California, United States","Health Care Informatics at University of San Diego is a rapidly growing, interdisciplinary field that resides at the intersection of computer science, information management, and healthcare.","1,327 EUR / credit",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Health Care Informatics,University of San Diego,Online,"Health Care Informatics at University of San Diego is a rapidly growing, interdisciplinary field that resides at the intersection of computer science, information management, and healthcare.",799 EUR / credit,month,24.0,M.Sc.,Part-time,,,,Master's,M.Sc.,Part-time,No,No,No
Computer Science and Information Systems,Saginaw Valley State University,"Michigan City, Indiana, United States",The MS-CSIS is an interdisciplinary program intended to serve individuals looking for acquiring advanced knowledge and hands-on skills on contemporary areas in traditional Computer Science and applied Information Systems.,"8,223 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Information Technology,The University of Texas at San Antonio,"Helotes, Texas, United States","The Master of Science degree in Information Technology (MSIT) provides information systems and computer science professionals with the opportunity to acquire technical knowledge in a variety of specialized information technology fields, and the management skills to create, plan, organize, lead and control information technology in their organizations.  ","21,675 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Artificial Intelligence MicroMasters Program,Columbia University - ColumbiaX,Online,The Artificial Intelligence MicroMasters offered by EdX in collaboration with Columbia University - ColumbiaX is an online short course that will teach you how to apply concepts of machine learning like neural networks to a wide range of real-life applications.,"1,102 EUR / year",month,12.0,Pre-Master,Part-time,,,,Master's,Pre-Master,Part-time,No,No,No
Information and Communication Security,Technical University of Ostrava,"Ostrava, Czech Republic","The curriculum defines the general application of students in the accreditation file. The graduate student in the Information and Communication Security program from the Technical University of Ostrava will have broad practical skills and basic theoretical knowledge in the area of computer security as they are understood, taught and applied at Czech and foreign universities.   ","4,000 EUR / year",month,24.0,Full-time,Full-time,,,,Master's,Full-time,Full-time & Full-time,No,No,No
Machine Learning,Mohamed bin Zayed University of Artificial Intelligence,"Abu Dhabi, United Arab Emirates","This Machine Learning program at Mohamed bin Zayed University of Artificial Intelligence tackles the scientific study of algorithms and statistical models that computer systems use to effectively perform a specific task without using explicit instructions, relying on patterns and inference instead.",0 EUR / year,month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Crime Intelligence and Data Analytics (with Advanced Practice),Teesside University,"Middlesbrough, England, United Kingdom","Understanding data is becoming increasingly important for us all. This is especially true for the intelligence analyst working for a police intelligence unit or business analytics department. The Crime Intelligence and Data Analytics (with Advanced Practice) programme, offered by Teesside University, helps you develop the necessary skills to work in these sectors.","8,255 EUR / year",month,20.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Information Technology,Liberty University,Online,"Have you always wanted to create complex programming designs? Does solving IT problems for small businesses or corporations interest you? The 100% online Master of Science in Information Technology from Liberty University will help you realize these dreams! In our online IT degree, you will become equipped to meet the business world’s need for IT leaders.",532 EUR / credit,month,18.0,M.Sc.,Part-time,,,,Master's,M.Sc.,Part-time,No,No,No
Strategic Digital Information Marketing,Colorado State University Global,Online,Strategic Digital Information Marketing at Colorado State University Global Campus  is designed for modern learners who want to lead efforts in digital marketing campaigns. ,"7,779 EUR / year",,,Full-time,Full-time,Part-time,,,Master's,Full-time,Full-time & Full-time & Part-time,No,No,No
Economics and Policy Analysis,DePaul University,"Chicago, Illinois, United States","In the Master of Science (MS) in Economics and Policy Analysis from DePaul University, you’ll gain in-depth knowledge of economic theory and advanced skills in data analysis that position you to examine economic and business policies.",933 EUR / credit,month,12.0,M.Sc.,Full-time,Part-time,,,Master's,M.Sc.,Full-time & Part-time,No,No,No
Geology (Complex Data Analysis in Petroleum Geology),Kazan Federal University,"Kazan, Russia","The Geology (Complex Data Analysis in Petroleum Geology) program at the Kazan Federal University aim is to give strong basics of geology, geophysics and its interpretation and the geological and dynamic modelling.","3,722 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Applied Computer and Information Technology (ACIT),Oslo Metropolitan University,"Oslo, Norway","This master’s Applied Computer and Information Technology (ACIT) degree at Oslo Metropolitan University offers an expert-level education in the design, development, use and maintenance of computer technology, electronics and software in areas of great importance for modern societies.",0 EUR / year,month,24.0,M.A.,Full-time,,,,Master's,M.A.,Full-time,No,No,No
Geoinformatics Engineering,Politecnico Di Milano,"Milano, Italy",The Geoinformatics Engineering programme at the Politecnico Di Milano is a two years international master course taught in English for Italian and foreign students.,"3,898 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Marketing and Business Analysis,The University of Edinburgh,"Edinburgh, Scotland, United Kingdom",The MSc in Marketing and Business Analysis at The University of Edinburgh provides students with the theoretical foundations of marketing along with an added appreciation of the skills required in solving analytical and practical marketing problems. ,"26,361 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Information Technology,University of Massachusetts Boston,"Boston, Massachusetts, United States","Come study in Boston's only public business school. The STEM designated Master of Science Information Technology program from University of Massachusetts Boston can be completed full-time or part-time, with classes that meet primarily in the evenings and online.","25,868 EUR / year",month,18.0,M.Sc.,Full-time,Part-time,Blended Learning,,Master's,M.Sc.,Full-time & Part-time,Blended,Blended,No
Medical Informatics,Shiraz University of Medical Sciences,"Shiraz, Iran",The Medical Informatics program of Shiraz University of Medical Sciences is part of the School of Management and Medical Informatics.,"1,729 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Business Engineering - Data Analytics,Ghent University,"Gent, Belgium","The Master study programme in Business Engineering - Data Analytics at Ghent University is devised to train specialists in the area of the design, implementation and management of new technologies both in existing and in start-up organisations. Graduates are expected to be duly capable of putting forward innovative ideas aimed at enhancing the performance of any given organisation. ","5,624 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Urban Systems and Real Estate,Eindhoven University of Technology (TU/e),"Eindhoven, Netherlands","The Urban Systems and Real Estate programme from Eindhoven University of Technology (TU/e) looks at cities as systems in which real estate (housing, offices, shopping malls, health care properties) and the transportation and neighbourhood networks closely interact. ","16,200 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Statistics,University of Houston Clear Lake,"Webster, Texas, United States","Your Master of Science in Statistics at the University of Houston Clear Lake offers you a balance of statistical theory and statistical methods and applications. We will provide you with the fundamental tools and conceptual foundations in quantitative reasoning for making advances in the sciences, decisions in industries and development and implementation of government property.","17,610 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Geographic Information Science,University of Denver,"Denver, Colorado, United States",The Master of Science (MS) in Geographic Information Science (GIS) at the University of Denver is designed for students interested in careers in geotechnology. ,"10,095 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Information Technology,Florida International University,"West Miami, Florida, United States",The Master of Science degree in Information Technology from Florida International University provides studies in state-of-the-art computer applications as well as an introduction to the theoretical foundations of computer science. ,"15,583 EUR / year",month,12.0,Full-time,Full-time,,,,Master's,Full-time,Full-time & Full-time,No,No,No
Statistics and Information Management - Risk Analysis and Management,NOVA IMS,"Lisbon, Portugal","The Master Program in Statistics and Information Management - Risk Analysis and Management from NOVA IMS, aims to train technical and management staff to be able to identify, quantify and manage the risks of financial institutions, and make decisions, according to the capital requirements established by Solvency II and Basel III.","4,000 EUR / year",month,18.0,Full-time,Full-time,,,,Master's,Full-time,Full-time & Full-time,No,No,No
"Computer, Communication and Information Sciences - Computer Science",Aalto University,"Helsinki, Finland","The teaching in the Computer, Communication and Information Sciences - Computer Science programme from Aalto University builds on a solid methodological base, and computer science students typically acquire excellent programming skills. ","15,000 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Geographical Information Systems,Flinders University,"Adelaide, South Australia, Australia",Gain advanced knowledge in the theory and application of geographical information systems and remote sensing. This Geospatial Information Systems program from Flinders University is for students with an undergraduate degree not related to geospatial information science (GISc).,"21,286 EUR / year",month,12.0,Postgraduate Diploma,Full-time,Blended Learning,,,Master's,Postgraduate Diploma,Full-time,Blended,Blended,No
Statistics,George Washington University,"Washington, D. C., Washington, D.C., United States","The M.S. program in Statistics at George Washington University offers a combination of mathematical statistics, applied statistics and statistical computing tailored to each student.","1,577 EUR / credit",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Computer Science and Informatics,Roskilde University,"Roskilde, Denmark",The Master Computer Science and Informatics at Roskilde University will qualify you to work in software development and broader system development.,"15,150 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Geographical Information Systems,Flinders University,"Adelaide, South Australia, Australia",Gain advanced knowledge in the theory and application of geographical information systems and remote sensing. This Geospatial Information Systems program from Flinders University is for students with an undergraduate degree not related to geospatial information science (GISc).,"10,643 EUR / year",month,6.0,Postgraduate Certificate,Full-time,Blended Learning,,,Master's,Postgraduate Certificate,Full-time,Blended,Blended,No
Spatial Information Science and Engineering,The University of Maine,"Orono, Maine, United States",The Spatial Information Science and Engineering program of The University of Maine focuses on advancing knowledge about spatial information particularly with respect to concepts needed in next-generation information systems.,"1,299 EUR / credit",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
