course_name,institution,location,description,cost,dur_period,dur_number,extra_0,extra_1,extra_2,extra_3,extra_4
Social Data Analytics,University College Dublin,"Dublin, Ireland","The MSc in Social Data Analytics is a one year taught programme at University College Dublin, delivered by schools within the College of Social Sciences and Law (Sociology), and College of Science (Computer Science).","19,900 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Geology (Complex Data Analysis in Petroleum Geology),Kazan Federal University,"Kazan, Russia","The Geology (Complex Data Analysis in Petroleum Geology) program at the Kazan Federal University aim is to give strong basics of geology, geophysics and its interpretation and the geological and dynamic modelling.","3,722 EUR / year",month,24,M.Sc.,Full-time,,,
Data Analytics,University of Illinois Springfield,"Springfield, Illinois, United States","The Data Analytics degree at University of Illinois Springfield aims at providing an interdisciplinary approach to data analytics that covers both the foundational mathematical knowledge of data science and the computational methods and tools for preprocessing, interpreting, analyzing, representing, and visualizing data sets. ","18,918 EUR / year",month,12,M.Sc.,Full-time,,,
Internet of Things with Data Analytics,Bournemouth University,Multiple locations,"The Internet of Things with Data Analytics programme at Bournemouth University shares its core modules with the MSc Internet of Things. The specialist (option) units will give you an understanding of data analytics methods, processes and selected applications applied in the area of IoT.","16,003 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Science,University of Kentucky,"Lexington-Fayette, Kentucky, United States","The Masters of Data Science program at University of Kentucky is administered jointly by three complementary programs: Computer Science, Biostastics and Institute of Biomedical Informatics.","28,238 EUR / year",month,12,Full-time,,,,
Health Data Informatics and Analytics,University of Denver,"Denver, Colorado, United States","Be at the forefront of the health industry, equipped with the technical and leadership skills needed to thrive in the fastest growing field: informatics.","28,554 EUR / year",month,24,M.Sc.,Full-time,Blended Learning,,
Computational Linguistics,University of British Columbia,"Vancouver, Canada",Passionate about language and curious about data? The Master of Data Science degree in Computational Linguistics from University of British Columbia is the credential to set you apart.,"29,588 EUR / full",month,10,Full-time,,,,
Data Analytics and Business Computing,New York University,"New York City, New York, United States",The Master of Science in Data Analytics and Business Computing from New York University seeks to prepare pre-experience students with a strong analytical background for careers in a fast-growing field of business analytics.,"50,821 EUR / year",month,12,M.Sc.,Full-time,,,
Quantitative Methods,Vanderbilt University,"Nashville, Tennessee, United States","The master of education (M.Ed.) in Quantitative Methods (QM) is designed to provide students with strong quantitative methods training for applied research settings. Students for whom the new program would have interest and value are those who wish to work in school systems, government, industry, dedicated research institutes, academic settings, and medical school research settings.","1,585 EUR / credit",month,24,M.Ed.,Full-time,,,
Applied Data Analytics,Australian National University,"Canberra, Australian Capital Territory, Australia",The Applied Data Analytics program at the Australian National University is a degree that provides students with exposure to best practice in data analytics and cutting edge courses in areas of relevance to data analytics practitioners.,"28,365 EUR / year",month,18,Full-time,Blended Learning,,,
Professional Program in Data Administration and Management,UC Berkeley Global,Online,"Join the Professional Program in Data Administration and Management from University of California, Berkeley and build a strong foundation in contemporary databases. Enhance your traditional Structured Query Language (SQL) relational-database and information management knowledge.","1,041 EUR / year",month,36,Postgraduate Certificate,Part-time,,,
Statistics with Emphasis in Data Analytics,University of Missouri - Columbia,"Columbia, Missouri, United States","Information is needed to solve the many problems of today’s world. How much information? What kind? After it is obtained, what must be done with it? Statisticians are trained to help answer these questions. Early admission into the Statistics Department will allow students to plan their programs so that the math and statistics prerequisites can be taken in the most efficient sequence. ","23,491 EUR / year",month,12,M.Sc.,Full-time,,,
Data Science for Cultural Heritage,University College London (UCL),"London, England, United Kingdom",The Data Science for Cultural Heritage programme from University College London (UCL) will create expert data scientists taught through the exciting lens of cultural heritage.,"28,584 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Global Software Development,Fulda University of Applied Sciences,"Fulda, Germany",M.Sc. in Global Software Development from Hochschule Fulda - University of Applied Sciences is a modern software development programme with strong relevance to industry. ,0 EUR / year,month,18,M.Sc.,Full-time,,,
Data Science and Analytics,University of Chichester,"Chichester, England, United Kingdom","Our IT systems and devices are constantly creating data and the amount of data created and stored grows exponentially. Data, and in particular patterns and trends within data, have the ability to inform and provide valuable insights, that help us predict and diagnose specific outcomes.","15,010 EUR / year",month,12,M.Sc.,Full-time,,,
Data Science,Norwegian University of Life Sciences (NMBU),"Ås, Norway","On the Master of Science in Data Science at Norwegian University of Life Sciences (NMBU) you will learn how to combine informatics, mathematics and statistics with data analysis to deal with Big Data challenges.",0 EUR / year,month,24,M.Sc.,Full-time,,,
Data Science,Indiana University Bloomington,"Bloomington, Indiana, United States","The Data Science Program at Indiana University Bloomington School of Informatics, Computing, and Engineering is training the next generation of data scientists to have a competitive edge in their respective industries. ","26,571 EUR / year",month,24,M.Sc.,Full-time,,,
Computational Data Science,Carnegie Mellon University,"Pittsburgh, Pennsylvania, United States",The Master's of Computational Data Science program at Carnegie Mellon University equips you with the skills and knowledge you need to develop the layers of technology involved in the next generation of massive information system deployments and analyze the data those systems generate.,"39,889 EUR / year",month,12,M.Sc.,Full-time,,,
Actuarial Science,Roosevelt University,"Chicago, Illinois, United States","Actuarial Science from the Roosevelt University  applies probability theory and risk management to the areas of life and health insurance, property and casualty insurance, pension plans, and other employee benefit plans. Students who seek a graduate degree in actuarial science may have earned an undergraduate degree in mathematics, finance, economics, computer science, or other related fields.","18,449 EUR / year",month,12,M.A.,Full-time,,,
Data Science and Analytics,Royal Holloway University of London,"London, England, United Kingdom","Study the Data Science and Analytics programme at Royal Holloway University of London and you’ll develop the practical skills needed to handle and analyse data in a wide variety of fields, preparing you for a rewarding career in Big Data. ","23,177 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Analytics,Dakota State University,"Madison, Alabama, United States","We’re relying more and more on data every day—and with that reliance comes the need for smart people who know how to analyze data, solve crucial business problems, and help others make insightful, analytics-driven decisions.Analytics is a fast-growing field, and we want to help you get the advantage you need to succeed. ",510 EUR / credit,month,24,M.Sc.,Full-time,Part-time,Online,
"Computational Archaeology- GIS, Data Science and Complexity",University College London (UCL),"London, England, United Kingdom","To impress employers you need the flexibility to learn on the job, leverage open data and program open source software. The Computational Archaeology- GIS, Data Science and Complexity programme offered at the University College London (UCL)  draws on UCL's unparalleled concentration of expertise to equip you for future research or significantly enhance your employability.","26,079 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Science,University of Wisconsin - Stevens Point,Online,"Today, data-savvy professionals who possess the requisite skills in computer science, statistics, applied mathematics and visualization are in high demand.",730 EUR / credit,month,24,M.Sc.,Full-time,,,
Data Science,Bellevue University,Online,"The Data Science program at Bellevue University is designed to prepare you to be in the driver’s seat to curate, analyze, and make relevant discoveries from large data sets. ",507 EUR / credit,month,24,M.Sc.,Full-time,,,
Data Science (with Specialisation in Statistics),Newcastle University,"Newcastle upon Tyne, England, United Kingdom","The Data Science (with Specialisation in Statistics) programme from Newcastle University gives you the knowledge, experience, and expertise to solve real-world problems and realise data-driven insights for organisations.","25,825 EUR / year",month,12,Full-time,Part-time,,,
Data Analytics,University of Brighton,"Brighton, England, United Kingdom","Developed to meet the demand for data science professionals, our Data Analytics course  offered by University of Brighton enables you to effectively structure, analyse and gain insight from a wide range of complex data across different industries.","16,727 EUR / year",month,12,Full-time,Part-time,,,
Big Data Science,Queen Mary University of London,"London, England, United Kingdom","The Big Data science movement is transforming how Internet companies and researchers over the world address traditional problems. Big Data Science course offered at Queen Mary University of London refers to the ability of exploiting the massive amounts of unstructured data that is generated continuously by companies, users, devices, and extract key understanding from it.","26,432 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Science,University of South Australia,"Adelaide, South Australia, Australia","The Data Science degree from University of South Australia gives you current knowledge of data science techniques and research. It caters for students with a mathematics or an IT background, with courses tailored for both.","21,522 EUR / year",month,24,Full-time,,,,
"Data Analytics, Data Science, Data Architecture",EISTI,"Cergy-Pontoise, France","The Data Analytics, Data Science, Data Architecture program at EISTI Graduate Engineering School draws on the recognized excellence of our engineering school in business intelligence and has grown from the specializations in Decision Support, Business Intelligence and Business Analytics.","7,000 EUR / year",month,24,Full-time,,,,
Big Data Analytics,Birmingham City University,"Birmingham, England, United Kingdom","The Big Data Analytics - PgCert / PgDip / MSc at Birmingham City University will provide you with an insight into areas of data mining, big data management, and advanced statistics.","15,561 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Statistics and Data Science,Temple University,"Philadelphia, Pennsylvania, United States",Hone the predictive analytics skills needed to join the next generation of elite data analysts with the Master of Science in Statistics and Data Science in Temple University’s Fox School of Business.,966 EUR / credit,month,12,M.Sc.,Full-time,Part-time,,
Computer Science,Wrexham Glyndwr University,"Wrexham, Wales, United Kingdom","The Computer Science programme offered by the Glyndwr University mixes a variety of study methods including lectures and tutorials with online modules, you will also be required to undertake personal study.","6,346 EUR / year",month,12,M.Sc.,Full-time,Part-time,Blended Learning,
Big Data Analytics,Sheffield Hallam University,"Sheffield, England, United Kingdom",This Big Data Analytics programme from Sheffield Hallam University helps you develop the skills to become a talented data scientist with experience of using industry-standard software and technologies.,"15,346 EUR / year",month,12,M.Sc.,Full-time,,,
Applied Data Science,University of Gothenburg,"Göteborg, Sweden","Data Science is concerned with extracting meaning from large volumes of data. It is a field that has grown rapidly in recent years as a result of the increasing availability of large data sets, and the opportunities and challenges that these present. The Applied Data Science programme is offered by University of Gothenburg.","13,630 EUR / year",month,24,Full-time,,,,
Computer Engineering,University of Essex,"Colchester, England, United Kingdom","Advances in technology are yielding smaller and higher-performance computer systems permeating into a wide range of applications, from communication systems to consumer products and common household appliances. Computer engineering encompasses the principles, methods, and modern tools for the design and implementation of computing systems.","20,373 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Business Analytics,Queen Mary University of London,"London, England, United Kingdom",Business Analytics programme offered at Queen Mary University of London is a new MSc offered in collaboration with QMUL’s School of Mathematics and is aimed at students who are highly numerate and have a strong interest in developing statistical and business skills required to succeed in the digital economy.,"27,536 EUR / year",month,12,M.Sc.,Full-time,,,
Big Data Analytics,Carlos III University of Madrid,"Madrid, Spain","The Master in Big Data Analytics from Carlos III University of Madrid is oriented towards the (re)training of professionals with responsibilities related to data analytics, and in particular of those involved with the evaluation of very large volumes of data in their companies. ",,month,12,Full-time,,,,
Data Science,The University of Edinburgh,"Edinburgh, Scotland, United Kingdom","The Data Science programme offered by The University of Edinburgh is the study of the computational principles, methods, and systems for extracting and structuring knowledge from data; and the application and use of those principles. Large data sets are now generated by almost every activity in science, society, and commerce.","35,868 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Science: Statistical Science,Leiden University,"Leiden, Netherlands",The master's specialisation Data Science: Statistical Science at Leiden University combines a broad basis in modern statistics with state-of-the-art knowledge in Data Science.,"18,600 EUR / year",month,24,M.Sc.,Full-time,,,
Data Science,University of Sheffield,"Sheffield, England, United Kingdom",Data Science degree offered at University of Sheffield prepares students for a career in analysing and interpreting large data sets in order to influence business decisions and strategy.,"26,212 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Science,King's College London,"London, England, United Kingdom","The Data Science MSc at King's College London provides advanced technical and practical skills in the collection, collation, curation and analysis of data.","29,302 EUR / year",month,12,M.Sc.,Full-time,,,
Professional Studies in Data Analytics - Business Analytics Option,Penn State World Campus,Online,"As a student in this Professional Studies in Data Analytics - Business Analytics Option from Penn State World Campus program, you can acquire the business intelligence training needed to work in positions such as business analyst, analytic system designer, or data scientist. ",907 EUR / credit,month,12,Part-time,,,,
Data Science,University of Bath,"Bath, England, United Kingdom","Gain a solid grounding in the theory and practice of data science. You’ll develop specialist knowledge in statistics, machine learning and software technology with the Data Science degree offered at University of Bath.","25,494 EUR / year",month,12,M.Sc.,Full-time,,,
Master of Data Science,University of New South Wales,Online,"Delivered 100% online, the Master of Data Science from University of New South Wales explores more ways to organise, identify, analyse and ultimately use data to inform strategies, redefine ambiguous questions and find answers that make a genuine impact.","29,865 EUR / year",month,24,Part-time,,,,
Biomedical Data Science,Icahn School of Medicine at Mount Sinai,"New York City, New York, United States","The Master of Science in Biomedical Data Science (MBDS) program at the Icahn School of Medicine at Mount Sinai integrates training and education in various aspects of biomedical sciences with machine learning, computer systems, and big data analysis, as well as access to large electronic medical record-linked biomedical repositories. ","45,526 EUR / year",,,M.Sc.,Full-time,,,
Data Science,University of Rochester,"Rochester, New York, United States","The Goergen Institute for Data Science offers the STEM-accredited Data Science program of University of Rochester, as well as an advanced certificate in data science.","1,547 EUR / credit",month,12,M.Sc.,Full-time,,,
Information Technology,Åbo Akademi University,"Turku, Finland","The Information Technology programme of Åbo Akademi University aims to equip students with a solid understanding of computation, communication and information processing in the context of our fast-changing society.","12,000 EUR / year",month,24,M.Sc.,Full-time,,,
Big Data and Text Analytics,University of Essex,"Colchester, England, United Kingdom","Our modern world is witnessing a growth of online data in a variety of forms, including web documents, blogs, social networks, digital libraries and medical records. Much of this data contains valuable information, such as emerging opinions in social networks, search trends from search engines, consumer purchase behaviour, and patterns that emerge from these huge data sources.","20,373 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Business Analytics,Bentley University,"Waltham, Massachusetts, United States","Big data has become big business, and as the field grows so does the demand for qualified professionals with deep analytical experience.","37,461 EUR / year",month,24,M.Sc.,Full-time,Part-time,Blended Learning,Online
Data Science,University of British Columbia,"Vancouver, Canada","The Master of Data Science curriculum at University of British Columbia covers all stages of this chain, providing you with skills to focus on the “knowledge” section. Over 10 months, you will learn how to extract data for use in experiments, how to apply state-of-the-art techniques in data analysis and how to present extracted knowledge effectively to domain experts.","29,647 EUR / full",month,10,Full-time,,,,
Big Data and High Performance Computing with a Year in Industry,University of Liverpool,"Liverpool, England, United Kingdom",The Big Data and High Performance Computing with a Year in Industry programme offered at the University of Liverpool provides students with an in-depth understanding of big data analysis and processing using high performance computing technology. This MSc programme enables students to gain a specialist qualification in an area of computing that is in great demand worldwide.,"23,839 EUR / year",month,24,M.Sc.,Full-time,,,
Datacenter Systems Engineering,Southern Methodist University,"Dallas, Oregon, United States","This Datacenter Systems Engineering program at Southern Methodist University is specifically designed for professionals who are actively employed in the management of data and the extraction of useful information, computer networking, virtualization, and security. ","1,041 EUR / credit",month,12,M.Sc.,Full-time,,,
Machine Learning,University of Tübingen,"Tübingen, Germany",Welcome to our International Master's Program in Machine Learning! The University of Tuebingen collaborates closely with the  Max Planck Institute for Intelligent Systems and the Max Planck Institute for Biological Cybernetics and they form together one of leading research hubs for machine learning in Europe and world-wide.,"3,000 EUR / year",month,24,Full-time,,,,
Computational Science,Central Washington University,"Ellensburg, Washington, United States",Do you like to solve complex problems? Are you looking for a degree that will place you in one of the hottest jobs in the country? Then the Computational Science programme offered by the Central Washington University may be the right choice for you.,"18,716 EUR / year",,,M.Sc.,Full-time,,,
Information Systems,University of Liechtenstein,"Vaduz, Liechtenstein",The Information Systems programme of University of Liechtenstein is designed for students looking for a practical education with the highest academic standards.,"2,324 EUR / year",month,24,M.Sc.,Full-time,,,
Master of Science in Data Analytics,Davenport University,"Caledonia, Wisconsin, United States","The curriculum is part of DU’s continuing efforts to identify and respond to strong need in the marketplace. The program allows participants to focus on real-world examples from their industry and will provide exposure to many of the software programs used in data analytics, as well as develop advanced communication and presentation skills.","11,785 EUR / year",,,M.Sc.,Full-time,,,
Software and Data Engineering,Università della Svizzera Italiana (USI),"Lugano, Switzerland",The Master in Software and Data Engineering from Università della Svizzera Italiana (USI) features courses taught by world’s leading researchers of the Software Institute at the USI Faculty of Informatics.,"7,554 EUR / year",month,24,M.Sc.,Full-time,,,
Analytics (Online),Georgia Institute of Technology,Online,"Understanding the vast quantities of data available in today’s markets is essential to developing a winning business strategy. With the Online Master of Science in Analytics (Online) at Georgia Institute of Technology (Georgia Tech), you can build and strengthen your expertise to make yourself more valuable to a host of companies. ","1,054 EUR / credit",month,24,M.Sc.,Full-time,,,
Predictive Analytics,Moravian College,"Bethlehem, Pennsylvania, United States","With the Moravian College Predictive Analytics program, you’ll gain the critical skills needed to rise to the top of our data-intensive world. We don’t want you to just crunch the numbers—we want you to lead the charge.",812 EUR / credit,month,24,Full-time,,,,
Data Analytics,"National University of Ireland, Galway","Galway, Ireland","Almost everything we do results in data being created and stored somewhere. Individuals, communities, business and governments face major challenges in harnessing all this data to create knowledge that will underpin a healthier, safer, more productive world. There is a global shortage of talent and expertise in Data Analytics and Data Science at National University of Ireland, Galway.","20,750 EUR / year",month,12,Full-time,,,,
Data Science,Institute of Technology Carlow,"Carlow, Ireland",The MSc in Data Science at Institute of Technology Carlow  programme provides students with a comprehensive knowledge base and skillset to fulfil and succeed in a variety of roles within data science driven organisations.,"11,250 EUR / year",month,12,M.Sc.,Part-time,,,
Data Science with Professional Placement,University of Essex,"Colchester, England, United Kingdom","The techniques we use to model and manipulate data guide the political, financial and social decisions that shape our modern society and are the basis of growth of the economy and success of businesses. Technology is growing and evolving at an incredible speed, and both the rate of growth of data we generate and the devices we use to process it can only increase.","19,755 EUR / year",month,24,M.Sc.,Full-time,,,
Data Science,James Cook University,Online,"At James Cook University, the Master of Data Science puts professionals who recognise the power of data and numbers ahead of the pack.","2,041 EUR / module",month,24,Part-time,,,,
Data Science,Aberystwyth University,"Aberystwyth, Wales, United Kingdom","The Data Science degree offered at Aberystwyth University is a rapidly growing interdisciplinary area, with applications in business, government, public health, and the sciences. ","17,493 EUR / year",month,12,M.Sc.,Full-time,,,
Data Analytics in Health Genomics,University of Essex,"Colchester, England, United Kingdom","Genome sequencing is revolutionising the field of medicine. The ability to sequence and analyse the genome of individuals in a fast and inexpensive manner, provides an unprecedented level of genetic information associated to health and disease. The data processing of such levels of information is challenging, and requires specialised skills in genomics, health and data analysis.","19,755 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Big Data,Simon Fraser University,"Burnaby, Canada",Simon Fraser University's Big Data master's program develops data architects who apply a deep knowledge of computer science to create new tools that find value in the vast amounts of information generated today.,"13,068 EUR / year",month,24,Full-time,,,,
Data Analytics,Western University - Canada,"London, Canada",The Master of Data Analytics (MDA) from the University of Western Ontario is designed to produce professionals ready to pursue an analytics-focused career within the public and private sectors.,"20,125 EUR / year",month,12,Full-time,,,,
"Informatics - CISA - Automated Reasoning, Agents, Data Intensive Research, Knowledge Management",The University of Edinburgh,"Edinburgh, Scotland, United Kingdom","In the Informatics - CISA - Automated Reasoning, Agents, Data Intensive Research, Knowledge Management offered by The University of Edinburgh  we enable computer systems to reproduce or complement human abilities, work with people, and support collaboration between humans. ","31,068 EUR / year",month,12,Full-time,Part-time,,,
Data Analytics,Oregon State University,Online,"Whether you're an experienced analytics professional or looking to change careers and become one, you can chart your path forward by earning a Master of Science degree or a Graduate Certificate in Data Analytics online from Oregon State University.",486 EUR / credit,month,24,M.Sc.,Full-time,,,
Computing and Data Analytics,Saint Mary's University,"Halifax, Canada",The Computing and Data Analytics program from Saint Mary's University primary focus is to develop highly qualified computing and data analytics professionals who will drive innovation and organizational success. MSc CDA prepares students for rewarding through experiential learning opportunities and intensive industry interaction.,"23,852 EUR / year",month,16,M.Sc.,Full-time,,,
Data Science,University of Salford,"Salford, England, United Kingdom",Data Science degree offered at University of Salford is your opportunity to develop specialist knowledge in data science and prepare for one of the most in-demand roles.,"16,190 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Geographic Data Science,University of Liverpool,"Liverpool, England, United Kingdom","This Geographic Data Science programme offered at the University of Liverpool aims to develop a high level understanding of quantitative and computational geographical methods. This includes skills in GIS software and statistical programming languages, such as R or Python. ","19,535 EUR / year",month,12,M.Sc.,Full-time,,,
Big Data Analytics and Artificial Intelligence,Novosibirsk State University,"Novosibirsk, Russia","Big Data Analytics and Artificial Intelligence from Novosibirsk State University gives students the opportunity to apply their data science and machine learning skills in leading scientific and industrial domains such as Oil and Gas, Healthcare, Social networks, Cognitive data science, Telecommunications, Instrumentation. ","5,637 EUR / year",month,24,M.Sc.,Full-time,,,
Applied Data Science,Indiana University - Purdue University Indianapolis,"Indianapolis, Indiana, United States","The first of its kind in the nation, the IU School of Informatics and Computing at IUPUI is a pioneer in the field of informatics and data science. Key ties to industry, employment, and research distinguish our school and its programs.","52,029 EUR / year",,,M.Sc.,Full-time,,,
Big Data Technologies and Advanced Analytics,Comillas Pontifical University,"Madrid, Spain","The Master in Big Data Technologies and Advanced Analytics of ICAI (Universidad Pontificia Comillas) is the response to the new business reality. Thus, the aim of this master is to train professionals who will lead this new stage.","12,250 EUR / year",month,12,Full-time,,,,
Big Data and Digital Futures,University of Warwick,"Coventry, England, United Kingdom","Join University of Warwick's Big Data and Digital Futures MSc/PGDip and learn to critically engage with big data. The Centre for Interdisciplinary Methodologies works across disciplines, drawing from the Arts, Humanities, Social Sciences and Sciences, to answer employers' demands for a new generation of researchers.","24,490 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Mathematics in Data Science,Technical University of Munich,"Beijing, China","The master's degree program Mathematics in Data Science, offered by Technical University of Munich, combines a high-profile education in mathematics with an emphasis on the burgeoning area of Big Data.",0 EUR / year,month,24,M.Sc.,Full-time,,,
Data Science,University of Mannheim,"Mannheim, Germany",The Data Science programme of University of Mannheim is an interdisciplinary program of study that is unique in Germany.,"3,000 EUR / year",month,24,M.Sc.,Full-time,,,
Data Science,University of Glasgow,"Glasgow, Scotland, United Kingdom","The Data Science course at the University of Glasgow is a specialist version of the MSc (Computing Science) which will provide you with a thorough grounding in the analysis and use of large data sets together with experience of conducting a substantial development or research project focused on Data Science techniques, preparing you for responsible positions in the Big Data and IT industries.","25,936 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Science and Analytics,Cork Institute of Technology,"Cork, Ireland","This Data Science and Analytics course at Cork Institute of Technology has been designed to address the skills shortage in Data Science and Analytics, by equipping graduates with the scientific, technological, business and interpersonal skills necessary to operate professionally in this rapidly evolving interdisciplinary field","12,000 EUR / year",month,18,M.Sc.,Full-time,,,
Data Analytics,Catholic University of America,"Washington, D. C., Washington, D.C., United States",The Catholic University of America is partnering with industry leaders to offer education in data science and analytics.,"19,485 EUR / year",month,24,M.Sc.,Full-time,,,
Data Mining and Knowledge Management,Sorbonne University,"Paris, France","Data mining and knowledge management (DMKM) has become essential for improving the competitiveness of businesses and increasing access to knowledge. DMKM still, however, comes up against major scientific and technological obstacles. This EMMC’s degree in DMKM proposes specialist training in this field.","8,000 EUR / year",month,24,Full-time,,,,
Data Science,La Trobe University,"Melbourne, Victoria, Australia",Prepare for the career of the future with the Master in Data Science (with a Specialisation in Bioinformatics) offered at La Trobe University .,"21,893 EUR / year",month,24,Full-time,Part-time,,,
Computer Engineering,Atlantis University,"Bisbee, Arizona, United States","The Computer Engineering programme offered by the Atlantis University focuses on the design, analysis, and application of computers and on their applications as components of systems.","11,658 EUR / year",month,20,M.Sc.,Full-time,,,
Data Science,Chalmers University of Technology - Masters Programmes,"Göteborg, Sweden","With the digital revolution, Data Science and Artificial Intelligence (AI) has become an important part of our lives and in society as a whole. With a solid foundation in machine learning, and in understanding the diverse problems of Data Science and AI, you will have a wide range of career opportunities to choose from. Data Science programme is offered at Chalmers University of Technology. ","13,565 EUR / year",month,24,M.Sc.,Full-time,,,
Astronomy and Data Science,Leiden University,"Leiden, Netherlands","In the master’s specialisation Astronomy and Data Science at Leiden University you focus on development and application of new data-mining technologies, fully embracing modern astronomy as a data rich science. You combine the research curriculum in Astronomy with in-depth training in Computer Science.","18,600 EUR / year",month,24,M.Sc.,Full-time,,,
Psychology - Behavioural Data Science,University of Amsterdam,"Amsterdam, Netherlands","Understanding data about human behaviour is an important and valuable skill in today's society. Companies, public institutions and governmental organizations — they all use the continuous stream of big data to describe and predict human behaviour. This Psychology - Behavioural Data Science is taught at University of Amsterdam.","16,335 EUR / year",month,12,M.Sc.,Full-time,,,
Information Studies - Data Science,University of Amsterdam,"Amsterdam, Netherlands","In a data rich world, data science is gaining a central position with an increasing potential value for businesses, science and society. With the innovative and interdisciplinary Information Studies - Data Science, the University of Amsterdam makes it possible for you to become a skillful expert in this field. ","22,220 EUR / year",month,12,M.Sc.,Full-time,,,
Data Science,University of Sunderland,"Sunderland, England, United Kingdom",This Data Science course at the University of Sunderland will help you harness new forms of data with increasingly powerful computer techniques. Gain the technical and practical skills to analyse big data. Study a unique course developed according to the needs of the employment sector.,"15,451 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Health Data Science,The University of Manchester,"Manchester, England, United Kingdom","The MSc Health Data Science course offered at the The University of Manchester aims to create a new breed of scientist who can understand the healthcare sector and medicine, how data is collected and analysed, and how this can be communicated to influence various stakeholders.","20,969 EUR / year",month,12,Full-time,Part-time,,,
Business and Science Degree in Analytics - Discovery Informatics and Data Sciences,Rutgers University,"Camden, New Jersey, United States","The Business and Science Degree in Analytics - Discovery Informatics and Data Sciences program from Rutgers University prepares students for data-driven decision making. It brings together the fields of computer science, statistics, machine learning, data mining and big data.","1,089 EUR / credit",month,12,Full-time,,,,
Computing,Wrexham Glyndwr University,"Wrexham, Wales, United Kingdom","Develop the industry-relevant skills and expertise to become an agile, adaptable computing specialist on the course programmes. This industry facing Computing programme at Wrexham Glyndwr University gives students whose first degree isn't in computing (or whose computing degree was awarded some time ago), the skills needed to become a practising IT professional.","13,796 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Analytics,University of Warwick,"Coventry, England, United Kingdom","Warwick's Data Analytics MSc is designed for technically-minded graduates of computer science, mathematics or physical sciences. University of Warwick's Computer Science department is a research leader in data analytics and will train you in the technical skills and expertise you need.","29,975 EUR / year",month,12,M.Sc.,Full-time,,,
Engineering Data Analytics,University of Wisconsin Madison,Online,"We improve the practice of engineering by providing world-class, objective continuing education and credit instruction for technical professionals.  We increase students’ communication skills, enhance the public’s understanding of science and technology, and emulate the Wisconsin Idea. We offer a master degree in Engineering Data Analytics at the University of Wisconsin Madison. ","1,127 EUR / credit",month,24,M.Eng.,Part-time,,,
Data Science and Analytics,University of Leeds,"Leeds, England, United Kingdom","The Data Science and Analytics course at University of Leeds combines expertise from the Schools of Computing, Geography and Mathematics with that of Leeds University Business School.",,month,12,M.Sc.,Full-time,,,
Data Analytics,Johnson & Wales University,Online,"It's a fact: Businesses today rely on data. Position yourself for a successful career in data analytics with this master's level program. You'll gain expertise in data mining, analytics, management and visualization, forecasting, modeling, and optimization and simulation through this master of science in the Data Analytics program of Johnson & Wales University.",682 EUR / credit,month,24,M.Sc.,Full-time,,,
MBA (Data Analytics),Rdi Uk,Online,"Designed for practising managers looking to take that next step upwards, you will have the opportunity to put your learning into practice, learning how to turn analysis into useful insights and strategic business plans to drive competitive advantage.","6,888 EUR / year",month,18,M.B.A.,Full-time,,,
Database Systems,University of West Florida,"Pensacola, Florida, United States","The Master of Science in Computer Science - Database Systems specialization emphasizes designing, implementing, maintaining, and administering large database systems.",892 EUR / credit,month,24,M.Sc.,Full-time,,,
Data Science,Pompeu Fabra University,"Barcelona, Spain","The Master in Data Science at Pompeu Fabra University curriculum will guide students from modeling and theory to computational practice and cutting edge tools, teaching skills that are in growing global demand. ","18,500 EUR / year",month,9,Full-time,,,,
Applied Data Science,Frankfurt School of Finance and Management,"Frankfurt am Main, Germany","The Master in Applied Data Science at the Frankfurt School of Finance and Management, is a response to the recent demand for business-savvy data scientists with the collaborative skills to match.","16,250 EUR / year",month,24,M.Sc.,Full-time,,,
Digital and Technology Solutions (Data Analytics Specialist),Newcastle University,"Newcastle upon Tyne, England, United Kingdom","The Digital and Technology Solutions (Data Analytics Specialist) programme from Newcastle University is for individuals in full time employment who want to develop their postgraduate skills in data analytics, taking advantage of the apprenticeship scheme.",,month,24,M.Sc.,Part-time,,,
Data and Knowledge Engineering,Otto von Guericke University Magdeburg,"Magdeburg, Germany","In the Master Data and Knowledge Engineering at Otto von Guericke University Magdeburg students acquire solid knowledge on the theoretical aspects and application areas of knowledge discovery, machine learning, data mining and warehousing, of the supporting database technologies, the languages and models for the representation of data, information and knowledge.",0 EUR / year,month,24,M.Sc.,Full-time,,,
